adress	status	omdirigeras_till	sokvolym_summa	basta_plats	antal_sokord
/produkt/dieselvarmare-12v-8kw	200		480	21	1
/produkt/solpanel-12v-monokristallin	200		480	30	1
/blogg/dieselvarmare-kopguide-2026	200		480	31	1
/produkt/elektrisk-domkraft-12v-bil-5-ton	200		480	15	1
/produkt/flyttfiltar-mobler-6-12-pack	200		480	21	1
/produkt/handhallen-angtvatt-angrengorare-kok-bad-bil	200		470	29	2
/produkt/toalettforhojning-med-armstod-9-cm	200		470	23	2
/produkt/utdragbar-sopsorterare	200		420	36	2
/produkt/loungeset-rotting-5-delar	200		420	29	2
/produkt/julgranstag-med-ljus-och-musik	200		390	16	1
/produkt/byra-100-cm-hog-5-lador	200		390	34	1
/produkt/membranpump-12v-sjalvsugande-vattenpump	200		390	44	1
/butik	200		390	47	1
/produkt/mediahylla-dvd-cd-bocker	200		390	33	1
/produkt/gunghast-barn-tra	200		390	29	1
/produkt/gymnastikbarr-barn-justerbar-hojd-92-150-cm	200		390	52	1
/produkt/hopfallbar-kolgrill-barbar-campinggrill	200		320	45	1
/produkt/paviljong-3x3-6-m-dubbeltak-myggnat	200		320	36	1
/produkt/fyrfat-utomhus-67-cm	200		320	14	1
/produkt/hogskap-badrum-60x171-tvattkorg	200		320	22	1
/produkt/parasoll-300-cm-tra-dubbeltak	200		320	43	1
/produkt/studsmatta-traning	200		320	37	1
/produkt/fonsterspegel-svart-76x149-cm-3-delar-vaggspegel	200		320	14	1
/produkt/transparent-bordsskydd	200		320	14	1
/produkt/skjutdorrsbeslag-skena	200		320	32	1
/produkt/husvagnsoverdrag-4-lager-med-dackskydd	200		320	20	1
/produkt/vaxelriktare-ren-sinus-2000-2500w-12-24v	200		260	39	1
/produkt/sparkcykel-barn-trehjulig-led	200		260	19	1
/produkt/portabel-elbilsladdare-typ-2-16a	200		260	24	1
/produkt/robotleksak-barn-radiostyrd-robot	200		260	22	1
/produkt/hopfallbar-balansbom	200		260	31	1
/produkt/uppblasbart-campingtalt	200		260	52	1
/produkt/kontorsstol-med-fotstod	200		260	20	1
/produkt/babygunga-stativ-barngunga	200		260	27	1
/produkt/honat-hast-slow-feeder-pe-flatat	200		260	23	1
/produkt/stapelbara-pallar	200		260	2	1
/produkt/justerbar-traningsbank-hopfallbar	200		260	26	1
/produkt/trappstege-aluminium-hopfallbar-hushallsstege	200		260	26	1
/produkt/honsgard-med-tak-galvaniserad-utegard-for-hons	200		260	23	1
/produkt/vinkyl-12-flaskor-smal	200		260	18	1
/produkt/pcp-handpump-luftgevar-4500-psi-3-stegs	200		260	37	1
/produkt/verktygsvagn-med-hjul-verkstadsvagn	200		260	25	1
/produkt/vattenavskiljare-diesel-500fg-branslefilter	200		210	20	1
/produkt/destillationsapparat-rostfri	200		210	39	1
/produkt/golvlampa-med-bord	200		210	21	1
/alla-produkter	200		210	57	1
/produkt/elbil-barn-bmw-i4-12v-115-cm	200		210	19	1
/produkt/odlingslada-metall	200		210	44	1
/produkt/odlingslada-metall-241x90	200		210	32	1
/produkt/odlingslada-metall-180x90	200		210	14	1
/produkt/displayram-matchtroja	200		210	22	1
/produkt/portabel-kolgrill-hopfallbar-rostfritt-stal	200		210	20	1
/kategori/selar-koppel-transport	200		210	59	1
