# Semrush resource_organic, databas se, 2026-09-24, www.fyndplats.se/produkt/, position 11–30, sorterat på volym
# sökord	position	sökningar/mån	svårighet	avsikt	slug
julgranståg	16	390	15	1	julgranstag-med-ljus-och-musik
bänkugn	16	390	18	0,1	miniugn-32-liter
mountainbike 20 tum	18	390	13	0	barncykel-20-tum-mountainbike-7-vaxlad
handdammsugare bil	18	390	18	0	sladdlos-handdammsugare-bil
hundramp bil	21	390	13	3	hundramp-bil-155-cm
spalje i metall	23	390	15	1	spalje-klattervaxter
barncykel med stödhjul	24	390	17	1	barncykel-stodhjul-2-i-1
stödben husvagn	28	390	11	1	stodben-husvagn-husbil-4-pack
gunghäst trä	29	390	13	1	gunghast-barn-tra
stödben till husvagn	29	390	10	1,3	stodben-husvagn-husbil-4-pack
fyrfat	14	320	17	1	fyrfat-utomhus-67-cm
fönsterspegel	14	320	16	1	fonsterspegel-svart-76x149-cm-3-delar-vaggspegel
bordsskydd	14	320	13	1	transparent-bordsskydd
parasoll rektangulärt	19	320	12	1	rektangulart-parasoll-200x150
husvagnsöverdrag	20	320	12	1	husvagnsoverdrag-4-lager-med-dackskydd
aktivitetstavla barn	20	320	15	1	aktivitetstavla-barn-montessori
fågelmatare med kamera	21	320	12	1,3	fagelmatare-med-kamera
badrumsskåp med tvättkorg	22	320	10	1	hogskap-badrum-60x171-tvattkorg
aktivitetstavla	25	320	12	1	aktivitetstavla-barn-montessori
rails takräcke	27	320	10	0	takracke-bil-rails-lasthallare-aluminium
arbetspall med hjul	27	320	12	1	arbetspall-med-hjul
tält uppblåsbart	28	320	13	0	uppblasbart-talt
stegpall hopfällbar	15	260	13	1	hopfallbar-stegpall
skötbord vägghängt	17	260	13	1	vaggmonterat-skotbord
skötbord vägg	18	260	15	1	vaggmonterat-skotbord
vinkyl smal	18	260	11	1	vinkyl-12-flaskor-smal
sparkcykel trehjuling	19	260	14	1	sparkcykel-barn-trehjulig-led
barncykel 16	20	260	17	0,1	barncykel-16-tum
kontorsstol med fotstöd	20	260	18	0	kontorsstol-med-fotstod
rektangulärt parasoll	20	260	12	1	rektangulart-parasoll-200x150
hundramp till bil	21	260	11	3	hundramp-bil-155-cm
radiostyrd robot	22	260	18	1,3	robotleksak-barn-radiostyrd-robot
skrivbord 120	22	260	16	1,3	skrivbord-120-cm
mtb 20 tum	22	260	13	0,1	barncykel-20-tum-mountainbike-7-vaxlad
slowfeeder häst	23	260	11	1	honat-hast-slow-feeder-pe-flatat
20 tum mtb	23	260	13	0	barncykel-20-tum-mountainbike-7-vaxlad
hönsgård med tak	23	260	12	1	honsgard-med-tak-galvaniserad-utegard-for-hons
portabel elbilsladdare	24	260	16	0	portabel-elbilsladdare-typ-2-16a
cafebord mosaik	25	260	10	1	runt-tradgardsbord-mosaik
verktygsskåp på hjul	25	260	12	1	verktygsvagn-med-hjul-verkstadsvagn
spalje till rosor	26	260	18	1	spalje-klattervaxter
träningsbänk hopfällbar	26	260	15	1	justerbar-traningsbank-hopfallbar
stege ihopfällbar	26	260	10	1,3	trappstege-aluminium-hopfallbar-hushallsstege
babygunga utomhus	27	260	14	1,3	babygunga-stativ-barngunga
gåband hopfällbart	28	260	17	0,1	hopfallbart-gaband-lopband-1-6kmh
toalettförhöjning	28	260	10	1	toalettforhojning-med-armstod-9-cm
rc grävmaskin	29	260	18	1,3	radiostyrd-gravmaskin-1-20
spalje för rosor	29	260	17	1	spalje-klattervaxter
ångtvätt golv	29	260	25	1	handhallen-angtvatt-angrengorare-kok-bad-bil
odlingslåda metall	14	210	8	1	odlingslada-metall-180x90
elbil barn bmw	19	210	11	1	elbil-barn-bmw-i4-12v-115-cm
stor hamsterbur	19	210	15	1	hamsterbur-med-tunnel-tillbehor
16 tum	20	210	18	1	barncykel-16-tum
bränslefilter med vattenavskiljare	20	210	10	1	vattenavskiljare-diesel-500fg-branslefilter
portabel kolgrill	20	210	17	0,1	portabel-kolgrill-hopfallbar-rostfritt-stal
golvlampa med bord	21	210	13	1	golvlampa-med-bord
rama in fotbollströja	22	210	17	1	displayram-matchtroja
toalettförhöjning med armstöd	23	210	8	0	toalettforhojning-med-armstod-9-cm
utemöbler rotting lounge	29	210	17	0	loungeset-rotting-5-delar
nyckelinkast	13	170	9	1	nyckelinkast-genom-dorren
kattlåda xxl	15	170	15	1	tackt-kattlada-xxl
stolsöverdrag stretch	22	170	8	0	stretch-stolsoverdrag
hundbädd stor hund	27	170	13	0	hundsoffa-stor-hund-upphojd
spalje till uteplats	30	170	13	1	spalje-klattervaxter
