sökord	position	volym	svårighet	url
verktygsskåp på hjul	25	260	12.00	/produkt/verktygsvagn-med-hjul-verkstadsvagn
blommor dekoration	55	260	8.00	/konstgjordablommor
stegpall hopfällbar	15	260	13.00	/produkt/hopfallbar-stegpall
20 cykel	34	260	14.00	/produkt/barncykel-20-tum-mountainbike-7-vaxlad
16 tum	20	210	18.00	/produkt/barncykel-16-tum
tyngder	45	210	19.00	/kategori/traning-gym
bränslefilter med vattenavskiljare	20	210	10.00	/produkt/vattenavskiljare-diesel-500fg-branslefilter
sopsortering under diskbänk	43	210	13.00	/produkt/utdragbar-sopsorterare
destillator	39	210	8.00	/produkt/destillationsapparat-rostfri
golvlampa med bord	21	210	13.00	/produkt/golvlampa-med-bord
liggplats	57	210	10.00	/alla-produkter
massagesäng	39	210	16.00	/kategori/massage-aterhamtning
cykel 16 tum pojk	39	210	14.00	/produkt/barncykel-16-tum
elbil barn bmw	19	210	11.00	/produkt/elbil-barn-bmw-i4-12v-115-cm
takkorg bil	6	210	7.00	/produkt/takkorg-bil-lastkorg-vaska
odlingslåda metall	44	210	8.00	/produkt/odlingslada-metall
odlingslåda metall	32	210	8.00	/produkt/odlingslada-metall-241x90
odlingslåda metall	14	210	8.00	/produkt/odlingslada-metall-180x90
bästa massagepistolen	60	210	14.00	/basta-i-test/massagepistoler
solskydd uteplats	66	210	15.00	/kategori/solskydd-paviljonger
källsortering under diskbänk	36	210	16.00	/produkt/utdragbar-sopsorterare
för vuxna	10	210	23.00	/blogg/hobby-for-vuxna
rama in fotbollströja	22	210	17.00	/produkt/displayram-matchtroja
portabel kolgrill	20	210	17.00	/produkt/portabel-kolgrill-hopfallbar-rostfritt-stal
utemöbler rotting lounge	32	210	17.00	/produkt/loungeset-rotting-5-delar
utemöbler rotting lounge	29	210	17.00	/produkt/loungeset-rotting-5-delar
cykel barn 16 tum	31	210	13.00	/produkt/barncykel-16-tum
hundsläp	59	210	10.00	/kategori/selar-koppel-transport
ångtvätt badrum	40	210	25.00	/produkt/handhallen-angtvatt-angrengorare-kok-bad-bil
toalettförhöjning med armstöd	23	210	8.00	/produkt/toalettforhojning-med-armstod-9-cm
stor hamsterbur	19	210	15.00	/produkt/hamsterbur-med-tunnel-tillbehor
